OID_,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_PLUS_INCIDENT_JOIN_ID,ICS_209_PLUS_COMPLEX_JOIN_ID,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,NWCG_CAUSE_AGE_CATEGORY,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME
79,201642601,SFO-2012CACDFLNU006198,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU006198,,SLEEPY,,,,,,2012,8/9/2012 0:00:00,222,2000,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,1.000000000000000,B,38.158766999999997,-122.499988000000002,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
80,201642609,SFO-2012CACDFLNU006450,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU006450,,GRANGE RD  SANTA_ROSA,,,,,,2012,8/16/2012 0:00:00,229,1220,Human,Equipment and vehicle use,,,,,0.250000000000000,A,38.394886999999997,-122.638785999999996,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
81,201642611,SFO-2012CACDFLNU006468,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU006468,,PORTER,,,,,,2012,8/16/2012 0:00:00,229,2351,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.100000000000000,A,38.549156000000004,-122.711411999999996,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
82,201642612,SFO-2012CACDFLNU006479,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU006479,,SIERRA,,,,,,2012,8/17/2012 0:00:00,230,1245,Human,Missing data/not specified/undetermined,,,,,1.000000000000000,B,38.321326999999997,-122.713714999999993,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
83,201642613,SFO-2012CACDFLNU006482,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU006482,,HILLVIEW,,,,,,2012,8/17/2012 0:00:00,230,1328,Human,Equipment and vehicle use,,,,,0.030000000000000,A,38.571207999999999,-122.813682000000000,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
84,201642614,SFO-2012CACDFLNU006483,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU006483,,ARNOLD,,,,,,2012,8/17/2012 0:00:00,230,1334,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,20.000000000000000,C,38.182284000000003,-122.443539000000001,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
85,201642615,SFO-2012CACDFLNU006491,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU006491,,HWY 101  S/W SIERRA AV 2,,,,,,2012,8/17/2012 0:00:00,230,1245,Human,Missing data/not specified/undetermined,,,,,1.000000000000000,B,38.321326999999997,-122.713714999999993,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
86,201642616,SFO-2012CACDFLNU006492,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU006492,,HWY 101  S/W SIERRA AV 3,,,,,,2012,8/17/2012 0:00:00,230,1245,Human,Missing data/not specified/undetermined,,,,,1.000000000000000,B,38.321326999999997,-122.713714999999993,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
87,201642617,SFO-2012CACDFLNU006493,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU006493,,HWY 101  S/W SIERRA AV 4,,,,,,2012,8/17/2012 0:00:00,230,1245,Human,Missing data/not specified/undetermined,,,,,1.000000000000000,B,38.321326999999997,-122.713714999999993,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
88,201642621,SFO-2012CACDFLNU006557,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU006557,,HILL ST / MAIN ST,,,,,,2012,8/20/2012 0:00:00,233,0128,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.100000000000000,A,38.408529999999999,-122.947559999999996,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
89,201642625,SFO-2012CACDFLNU006649,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU006649,,ROBLAR,,,,,,2012,8/23/2012 0:00:00,236,1423,Human,Equipment and vehicle use,,,,,1.000000000000000,B,38.321190999999999,-122.763883000000007,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
90,201642631,SFO-2012CACDFLNU006877,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU006877,,SOUTH,,,,,,2012,8/30/2012 0:00:00,243,1609,Human,Equipment and vehicle use,,,,,0.250000000000000,A,38.781931000000000,-123.009916000000004,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
91,201642632,SFO-2012CACDFLNU006910,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU006910,,PINE,,,,,,2012,8/31/2012 0:00:00,244,1519,Human,Missing data/not specified/undetermined,,,,,0.100000000000000,A,38.745666999999997,-122.747000000000000,UNDEFINED FEDERAL,CA,SONOMA,06097,Sonoma County
92,201642634,SFO-2012CACDFLNU006942,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU006942,,SONOMA,,,,,,2012,9/1/2012 0:00:00,245,1209,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.090000000000000,A,38.367438000000000,-122.594747999999996,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
93,201642638,SFO-2012CACDFLNU007070,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU007070,,ADOBE,,,,,,2012,9/4/2012 0:00:00,248,1537,Human,Missing data/not specified/undetermined,,,,,5.400000000000000,B,38.253546999999998,-122.569291000000007,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
94,201642642,SFO-2012CACDFLNU007150,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU007150,,GROVE,,,,,,2012,9/7/2012 0:00:00,251,1309,Human,Missing data/not specified/undetermined,,,,,2.000000000000000,B,38.303333000000002,-122.551389000000000,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
95,201642643,SFO-2012CACDFLNU007169,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU007169,,BARCELONA,,,,,,2012,9/7/2012 0:00:00,251,2353,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.340000000000000,B,38.310980999999998,-122.473754000000000,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
96,201642645,SFO-2012CACDFLNU007195,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU007195,,SUNSET,,,,,,2012,9/9/2012 0:00:00,253,1027,Human,Missing data/not specified/undetermined,,,,,1.000000000000000,B,38.507984999999998,-122.929595000000006,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
97,201642649,SFO-2012CACDFLNU007368,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU007368,,CAZADERO,,,,,,2012,9/14/2012 0:00:00,258,1719,Human,Missing data/not specified/undetermined,,,,,0.100000000000000,A,38.501700000000000,-123.070362000000003,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
98,201642655,SFO-2012CACDFLNU007455,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU007455,,ADOBE CANYON RD  KENWOOD,,,,,,2012,9/16/2012 0:00:00,260,2120,Human,Missing data/not specified/undetermined,,,,,0.250000000000000,A,38.435039000000003,-122.549456000000006,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
99,201642656,SFO-2012CACDFLNU007460,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU007460,,OLD RIVER RD  FORESTVILLE,,,,,,2012,9/17/2012 0:00:00,261,0713,Human,Missing data/not specified/undetermined,,,,,0.120000000000000,A,38.503802999999998,-122.912097000000003,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
100,201642657,SFO-2012CACDFLNU007477,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU007477,,MONTE VISTA TER  MONTE_RI,,,,,,2012,9/17/2012 0:00:00,261,1411,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,1.000000000000000,B,38.469371000000002,-123.018625000000000,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
101,201642659,SFO-2012CACDFLNU007602,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU007602,,MOSCOW RD  MONTE_RIO,,,,,,2012,9/21/2012 0:00:00,265,1057,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.100000000000000,A,38.468411000000003,-123.015957999999998,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
102,201642661,SFO-2012CACDFLNU007612,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU007612,,BEAN AV / OCEAN VIEW AV,,,,,,2012,9/21/2012 0:00:00,265,1524,Human,Missing data/not specified/undetermined,,,,,0.100000000000000,A,38.351073000000000,-123.061944999999994,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
103,201642662,SFO-2012CACDFLNU007683,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU007683,,PORTER,,,,,,2012,9/23/2012 0:00:00,267,1454,Human,Missing data/not specified/undetermined,,,,,1.000000000000000,B,38.549731999999999,-122.712909999999994,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
104,201642663,SFO-2012CACDFLNU007712,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU007712,,HWY 101  S/ OLD REDWOOD H,,,,,,2012,9/24/2012 0:00:00,268,2255,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,1.000000000000000,B,38.828153000000000,-123.014364999999998,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
105,201642666,SFO-2012CACDFLNU007930,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU007930,,STONY,,,,,,2012,10/1/2012 0:00:00,275,1610,Human,Missing data/not specified/undetermined,,,,,5.000000000000000,B,38.334558000000001,-122.738309000000001,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
106,201642668,SFO-2012CACDFLNU007990,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU007990,,ROBERTS,,,,,,2012,10/3/2012 0:00:00,277,1226,Human,Equipment and vehicle use,,,,,0.100000000000000,A,38.335590000000003,-122.643533000000005,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
107,201642670,SFO-2012CACDFLNU008235,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU008235,,HWY 101  N/S CLOVERDALE B,,,,,,2012,10/12/2012 0:00:00,286,0931,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,1.000000000000000,B,38.783496999999997,-123.009372999999997,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
108,201642675,SFO-2012CACDFLNU008457,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU008457,,RIVER,,,,,,2012,10/19/2012 0:00:00,293,1426,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.250000000000000,A,38.519179999999999,-122.979530999999994,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
109,201642677,SFO-2012CACDFLNU008528,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU008528,,STEWARTS,,,,,,2012,10/21/2012 0:00:00,295,2133,Human,Missing data/not specified/undetermined,,,,,0.100000000000000,A,38.671010000000003,-123.081934000000004,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
110,201642678,SFO-2012CACDFLNU009034,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU009034,,CHERRY,,,,,,2012,11/10/2012 0:00:00,315,1125,Human,Debris and open burning,,,,,0.500000000000000,B,38.794935000000002,-123.041918999999993,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
111,201642679,SFO-2012CACDFLNU009061,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU009061,,BIG CEDAR LN  SEBASTOPOL,,,,,,2012,11/11/2012 0:00:00,316,1614,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,1.000000000000000,B,38.361511999999998,-122.796417000000005,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
112,201642680,SFO-2012CACDFLNU009090,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU009090,,MOUNTAIN,,,,,,2012,11/13/2012 0:00:00,318,0406,Human,Missing data/not specified/undetermined,,,,,0.100000000000000,A,38.572552000000002,-122.644276000000005,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
113,201642681,SFO-2012CACDFLNU009328,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU009328,,ANNAPOLIS,,,,,,2012,11/24/2012 0:00:00,329,1415,Human,Debris and open burning,,,,,0.100000000000000,A,38.716670000000001,-123.364700999999997,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
