OID_,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_PLUS_INCIDENT_JOIN_ID,ICS_209_PLUS_COMPLEX_JOIN_ID,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,NWCG_CAUSE_AGE_CATEGORY,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME
36,201642500,SFO-2012CACDFLNU003654,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU003654,,ALEXANDER,,,,,,2012,5/31/2012 0:00:00,152,1219,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.750000000000000,B,38.658548000000003,-122.836134000000001,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
37,201642501,SFO-2012CACDFLNU003721,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU003721,,STEWARTS,,,,,,2012,6/2/2012 0:00:00,154,1516,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.250000000000000,A,38.674661000000000,-123.108405000000005,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
38,201642503,SFO-2012CACDFLNU003755,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU003755,,RUSSIAN,,,,,,2012,6/3/2012 0:00:00,155,1828,Human,Misuse of fire by a minor,Minor,,,,0.100000000000000,A,38.464095000000000,-123.150260000000003,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
39,201642504,SFO-2012CACDFLNU003833,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU003833,,GRATON RD / TANUDA RD,,,,,,2012,6/6/2012 0:00:00,158,1045,Human,Debris and open burning,,,,,0.100000000000000,A,38.416455999999997,-122.934370000000001,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
40,201642505,SFO-2012CACDFLNU003879,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU003879,,HWY 101  N/S CLOVERDALE B,,,,,,2012,6/7/2012 0:00:00,159,1534,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,1.000000000000000,B,38.783436999999999,-123.009649999999993,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
41,201642507,SFO-2012CACDFLNU003910,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU003910,,ANNADEL,,,,,,2012,6/8/2012 0:00:00,160,1919,Human,Arson/incendiarism,,,,,0.600000000000000,B,38.437199999999997,-122.648167000000001,STATE,CA,SONOMA,06097,Sonoma County
42,201642511,SFO-2012CACDFLNU003959,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU003959,,TIMBER COVE RD  TIMBER_CO,,,,,,2012,6/9/2012 0:00:00,161,2333,Human,Arson/incendiarism,,,,,0.100000000000000,A,38.547457999999999,-123.274641000000003,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
43,201642515,SFO-2012CACDFLNU004007,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU004007,,CROCKER RD / RIVER RD,,,,,,2012,6/10/2012 0:00:00,162,2315,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.300000000000000,B,38.813617000000001,-122.998423000000003,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
44,201642516,SFO-2012CACDFLNU004020,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU004020,,EVERETT,,,,,,2012,6/11/2012 0:00:00,163,1247,Human,Equipment and vehicle use,,,,,0.600000000000000,B,38.609368000000003,-122.889171000000005,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
45,201642517,SFO-2012CACDFLNU004057,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU004057,,RAILROAD,,,,,,2012,6/12/2012 0:00:00,164,1326,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.250000000000000,A,38.303767999999998,-122.708162000000002,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
46,201642518,SFO-2012CACDFLNU004064,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU004064,,RIO NIDO RD  GUERNEVILLE,,,,,,2012,6/12/2012 0:00:00,164,1504,Human,Missing data/not specified/undetermined,,,,,1.000000000000000,B,38.521479999999997,-122.982654999999994,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
47,201642519,SFO-2012CACDFLNU004067,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU004067,,S CLOVERDALE BL / HWY 101,,,,,,2012,6/12/2012 0:00:00,164,1613,Human,Missing data/not specified/undetermined,,,,,1.880000000000000,B,38.783436999999999,-123.009649999999993,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
48,201642520,SFO-2012CACDFLNU004084,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU004084,,MOUNTAIN HOME RANCH RD  K,,,,,,2012,6/13/2012 0:00:00,165,0931,Human,Missing data/not specified/undetermined,,,,,0.100000000000000,A,38.566876000000001,-122.631873999999996,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
49,201642524,SFO-2012CACDFLNU004318,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU004318,,HIGHWAY 2,,,,,,2012,6/18/2012 0:00:00,170,1717,Human,Missing data/not specified/undetermined,,,,,18.699999999999999,C,38.650547000000003,-122.729256000000007,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
50,201642526,SFO-2012CACDFLNU004345,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU004345,,MORNIGSIDE,,,,,,2012,6/19/2012 0:00:00,171,1543,Human,Equipment and vehicle use,,,,,0.500000000000000,B,38.339140999999998,-122.516431999999995,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
51,201642533,SFO-2012CACDFLNU004646,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU004646,,CLARK,,,,,,2012,6/28/2012 0:00:00,180,2206,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.800000000000000,B,38.795262999999998,-123.013761000000002,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
52,201642534,SFO-2012CACDFLNU004651,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU004651,,NAPA RD  SCHELLVILLE,,,,,,2012,6/29/2012 0:00:00,181,0727,Human,Missing data/not specified/undetermined,,,,,0.100000000000000,A,38.264678000000004,-122.407916999999998,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
53,201642537,SFO-2012CACDFLNU004732,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU004732,,101,,,,,,2012,7/1/2012 0:00:00,183,1246,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,1.000000000000000,B,38.783436999999999,-123.009649999999993,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
54,201642538,SFO-2012CACDFLNU004768,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU004768,,KENLEIGH DR  SONOMA,,,,,,2012,7/2/2012 0:00:00,184,0838,Human,Debris and open burning,,,,,0.100000000000000,A,38.300761999999999,-122.547353000000001,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
55,201642542,SFO-2012CACDFLNU004841,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU004841,,RAILROAD,,,,,,2012,7/4/2012 0:00:00,186,1050,Human,Missing data/not specified/undetermined,,,,,0.500000000000000,B,38.303767999999998,-122.708162000000002,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
56,201642543,SFO-2012CACDFLNU004845,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU004845,,WESTSIDE,,,,,,2012,7/4/2012 0:00:00,186,1306,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.100000000000000,A,38.547279000000003,-122.870912000000004,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
